timestamp,total_people,new,Entrance
2025-12-29 10:06:41,4,1,3
2025-12-29 10:06:41,3,1,2
2025-12-29 10:06:41,3,1,2
2025-12-29 10:06:41,2,1,1
2025-12-29 10:06:41,2,1,1
2025-12-29 10:06:42,2,1,1
2025-12-29 10:06:42,3,1,2
2025-12-29 10:06:42,3,1,2
2025-12-29 10:06:42,2,1,1
2025-12-29 10:06:42,2,1,1
2025-12-29 10:06:42,2,1,1
2025-12-29 10:06:42,2,1,1
2025-12-29 10:06:43,3,1,2
2025-12-29 10:06:43,2,1,1
2025-12-29 10:06:43,3,1,2
2025-12-29 10:06:43,4,1,3
2025-12-29 10:06:43,3,1,2
2025-12-29 10:06:43,3,1,2
2025-12-29 10:06:43,4,1,3
2025-12-29 10:06:44,4,1,3
2025-12-29 10:06:44,4,1,3
2025-12-29 10:06:44,3,1,2
2025-12-29 10:06:44,3,1,2
2025-12-29 10:06:44,3,1,2
2025-12-29 10:06:44,3,1,2
2025-12-29 10:06:44,3,1,2
2025-12-29 10:06:45,3,1,2
2025-12-29 10:06:45,3,1,2
2025-12-29 10:06:45,3,1,2
2025-12-29 10:06:45,3,1,2
2025-12-29 10:06:45,4,1,3
2025-12-29 10:06:45,4,1,3
2025-12-29 10:06:46,4,1,3
2025-12-29 10:06:46,3,1,2
2025-12-29 10:06:46,4,2,2
2025-12-29 10:06:46,5,2,3
2025-12-29 10:06:46,5,2,3
2025-12-29 10:06:46,5,2,3
2025-12-29 10:06:46,4,2,2
2025-12-29 10:06:47,4,2,2
2025-12-29 10:06:47,4,2,2
2025-12-29 10:06:47,5,2,3
2025-12-29 10:06:47,5,2,3
2025-12-29 10:06:47,5,2,3
2025-12-29 10:06:47,6,2,4
2025-12-29 10:06:47,4,2,2
2025-12-29 10:06:48,4,2,2
2025-12-29 10:06:48,5,2,3
2025-12-29 10:06:48,5,2,3
2025-12-29 10:06:48,5,2,3
2025-12-29 10:06:48,5,2,3
2025-12-29 10:06:48,6,2,4
2025-12-29 10:06:48,5,2,3
2025-12-29 10:06:49,5,2,3
2025-12-29 10:06:49,5,2,3
2025-12-29 10:06:49,6,2,4
2025-12-29 10:06:49,5,2,3
2025-12-29 10:06:49,5,2,3
2025-12-29 10:06:49,4,1,3
2025-12-29 10:06:49,4,1,3
2025-12-29 10:06:50,4,1,3
2025-12-29 10:06:50,5,1,4
2025-12-29 10:06:50,5,1,4
2025-12-29 10:06:50,5,1,4
2025-12-29 10:06:50,6,2,4
2025-12-29 10:06:50,5,1,4
2025-12-29 10:06:50,5,1,4
2025-12-29 10:06:51,5,1,4
2025-12-29 10:06:51,5,1,4
2025-12-29 10:06:51,6,2,4
2025-12-29 10:06:51,6,2,4
2025-12-29 10:06:51,6,2,4
2025-12-29 10:06:51,6,2,4
2025-12-29 10:06:52,6,2,4
2025-12-29 10:06:52,6,2,4
2025-12-29 10:06:52,6,2,4
2025-12-29 10:06:52,6,2,4
2025-12-29 10:06:52,8,2,6
2025-12-29 10:06:52,8,2,6
2025-12-29 10:06:52,8,2,6
2025-12-29 10:06:53,8,2,6
2025-12-29 10:06:53,8,2,6
2025-12-29 10:06:53,8,2,6
2025-12-29 10:06:53,8,2,6
2025-12-29 10:06:53,8,2,6
2025-12-29 10:06:53,8,2,6
2025-12-29 10:06:53,7,2,5
2025-12-29 10:06:54,7,2,5
2025-12-29 10:06:54,8,2,6
2025-12-29 10:06:54,8,2,6
2025-12-29 10:06:54,8,2,6
2025-12-29 10:06:54,10,2,8
2025-12-29 10:06:54,10,2,8
2025-12-29 10:06:54,10,2,8
2025-12-29 10:06:55,10,2,8
2025-12-29 10:06:55,10,2,8
2025-12-29 10:06:55,9,2,7
2025-12-29 10:06:55,9,2,7
2025-12-29 10:06:55,9,2,7
2025-12-29 10:06:55,9,2,7
2025-12-29 10:06:55,9,2,7
2025-12-29 10:06:56,9,2,7
2025-12-29 10:06:56,9,2,7
2025-12-29 10:06:56,9,2,7
2025-12-29 10:06:56,9,2,7
2025-12-29 10:06:56,9,2,7
2025-12-29 10:06:56,9,2,7
2025-12-29 10:06:57,9,2,7
2025-12-29 10:06:57,9,2,7
2025-12-29 10:06:57,8,2,6
2025-12-29 10:06:57,8,1,7
2025-12-29 10:06:57,8,1,7
2025-12-29 10:06:57,8,1,7
2025-12-29 10:06:57,8,1,7
2025-12-29 10:06:58,9,2,7
2025-12-29 10:06:58,8,1,7
2025-12-29 10:06:58,8,1,7
2025-12-29 10:06:58,8,1,7
2025-12-29 10:06:58,8,1,7
2025-12-29 10:06:58,8,1,7
2025-12-29 10:06:58,8,1,7
2025-12-29 10:06:59,8,1,7
2025-12-29 10:06:59,8,1,7
2025-12-29 10:06:59,9,2,7
2025-12-29 10:06:59,9,2,7
2025-12-29 10:06:59,9,2,7
2025-12-29 10:06:59,9,2,7
2025-12-29 10:07:00,9,2,7
2025-12-29 10:07:00,8,2,6
2025-12-29 10:07:00,9,2,7
2025-12-29 10:07:00,9,2,7
2025-12-29 10:07:00,9,2,7
2025-12-29 10:07:00,9,2,7
2025-12-29 10:07:01,9,2,7
2025-12-29 10:07:01,9,2,7
2025-12-29 10:07:01,8,1,7
2025-12-29 10:07:01,8,2,6
2025-12-29 10:07:01,7,1,6
2025-12-29 10:07:01,9,2,7
2025-12-29 10:07:02,10,3,7
2025-12-29 10:07:02,9,2,7
2025-12-29 10:07:02,9,2,7
2025-12-29 10:07:02,9,2,7
2025-12-29 10:07:02,8,2,6
2025-12-29 10:07:02,10,2,8
2025-12-29 10:07:02,11,2,9
2025-12-29 10:07:03,10,2,8
2025-12-29 10:07:03,11,2,9
2025-12-29 10:07:03,11,2,9
2025-12-29 10:07:03,11,3,8
2025-12-29 10:07:03,12,3,9
2025-12-29 10:07:03,12,3,9
2025-12-29 10:07:04,12,3,9
2025-12-29 10:07:04,11,3,8
2025-12-29 10:07:04,10,2,8
2025-12-29 10:07:04,11,3,8
2025-12-29 10:07:04,10,3,7
2025-12-29 10:07:04,10,2,8
2025-12-29 10:07:04,11,3,8
2025-12-29 10:07:05,10,2,8
2025-12-29 10:07:05,10,2,8
2025-12-29 10:07:05,10,2,8
2025-12-29 10:07:05,10,2,8
2025-12-29 10:07:05,8,2,6
2025-12-29 10:07:06,8,2,6
2025-12-29 10:07:06,8,2,6
2025-12-29 10:07:06,8,2,6
2025-12-29 10:07:06,7,2,5
2025-12-29 10:07:06,7,2,5
2025-12-29 10:07:06,9,2,7
2025-12-29 10:07:06,8,2,6
2025-12-29 10:07:07,8,2,6
2025-12-29 10:07:07,7,2,5
2025-12-29 10:07:07,7,2,5
2025-12-29 10:07:07,8,3,5
2025-12-29 10:07:07,9,3,6
2025-12-29 10:07:07,10,3,7
2025-12-29 10:07:07,7,3,4
2025-12-29 10:07:08,8,3,5
2025-12-29 10:07:08,8,3,5
2025-12-29 10:07:08,7,3,4
2025-12-29 10:07:08,10,3,7
2025-12-29 10:07:08,11,3,8
2025-12-29 10:07:08,10,3,7
2025-12-29 10:07:09,11,3,8
2025-12-29 10:07:09,10,3,7
2025-12-29 10:07:09,10,2,8
2025-12-29 10:07:09,10,2,8
2025-12-29 10:07:09,10,2,8
2025-12-29 10:07:09,10,2,8
2025-12-29 10:07:09,9,2,7
2025-12-29 10:07:10,9,2,7
2025-12-29 10:07:10,9,2,7
2025-12-29 10:07:10,9,2,7
2025-12-29 10:07:10,8,2,6
2025-12-29 10:07:10,8,2,6
2025-12-29 10:07:10,7,2,5
2025-12-29 10:07:11,8,2,6
2025-12-29 10:07:11,8,2,6
2025-12-29 10:07:11,7,3,4
2025-12-29 10:07:11,7,3,4
2025-12-29 10:07:11,7,3,4
2025-12-29 10:07:11,7,3,4
2025-12-29 10:07:11,6,2,4
2025-12-29 10:07:12,8,2,6
2025-12-29 10:07:12,8,2,6
2025-12-29 10:07:12,8,2,6
2025-12-29 10:07:12,7,2,5
2025-12-29 10:07:12,8,2,6
2025-12-29 10:07:12,9,2,7
2025-12-29 10:07:13,8,2,6
2025-12-29 10:07:13,9,2,7
2025-12-29 10:07:13,9,2,7
2025-12-29 10:07:13,10,2,8
2025-12-29 10:07:13,10,2,8
2025-12-29 10:07:13,11,3,8
2025-12-29 10:07:13,10,3,7
2025-12-29 10:07:14,13,4,9
2025-12-29 10:07:14,12,4,8
2025-12-29 10:07:14,11,4,7
2025-12-29 10:07:14,12,4,8
2025-12-29 10:07:14,12,4,8
2025-12-29 10:07:14,11,4,7
2025-12-29 10:07:15,11,4,7
2025-12-29 10:07:15,10,4,6
2025-12-29 10:07:15,10,4,6
2025-12-29 10:07:15,10,4,6
2025-12-29 10:07:15,10,4,6
2025-12-29 10:07:15,10,4,6
2025-12-29 10:07:16,10,4,6
2025-12-29 10:07:16,10,4,6
2025-12-29 10:07:16,10,4,6
2025-12-29 10:07:16,10,4,6
2025-12-29 10:07:16,7,4,3
2025-12-29 10:07:16,7,4,3
2025-12-29 10:07:16,7,4,3
2025-12-29 10:07:17,8,4,4
